sample_id,time,anomaly,anomaly_type,data_mode,description,volume,flow,paw,source_file,X,Y_flow,Y_paw
Double Trigger,0.0399433679645981,1,Double Trigger,flow,Double Trigger,,-4.632352941176464,58.6903218201108,double_trigger_img2.csv,,,
Double Trigger,0.0599150519468972,1,Double Trigger,flow,Double Trigger,,-4.632352941176464,58.66573483100654,double_trigger_img2.csv,,,
Double Trigger,0.0798867359291963,1,Double Trigger,flow,Double Trigger,,-4.632352941176464,58.64114784190228,double_trigger_img2.csv,,,
Double Trigger,0.0998584199114954,1,Double Trigger,flow,Double Trigger,,-4.632352941176464,58.61656085279802,double_trigger_img2.csv,,,
Double Trigger,0.1198301038937944,1,Double Trigger,flow,Double Trigger,,-4.632352941176464,58.59197386369376,double_trigger_img2.csv,,,
Double Trigger,0.1398017878760935,1,Double Trigger,flow,Double Trigger,,-4.632352941176464,58.5673868745895,double_trigger_img2.csv,,,
Double Trigger,0.1597734718583926,1,Double Trigger,flow,Double Trigger,,-4.632352941176464,58.542799885485245,double_trigger_img2.csv,,,
Double Trigger,0.1797451558406917,1,Double Trigger,flow,Double Trigger,,-4.632352941176464,58.538121995625225,double_trigger_img2.csv,,,
Double Trigger,0.1997168398229908,1,Double Trigger,flow,Double Trigger,,-4.632352941176464,58.55724520937298,double_trigger_img2.csv,,,
Double Trigger,0.2196885238052898,1,Double Trigger,flow,Double Trigger,,-4.632352941176464,58.57636842312074,double_trigger_img2.csv,,,
Double Trigger,0.2396602077875889,1,Double Trigger,flow,Double Trigger,,-4.632352941176464,58.595491636868495,double_trigger_img2.csv,,,
Double Trigger,0.259631891769888,1,Double Trigger,flow,Double Trigger,,-4.632352941176464,58.61461485061625,double_trigger_img2.csv,,,
Double Trigger,0.2796035757521871,1,Double Trigger,flow,Double Trigger,,-4.573592887131726,58.63373806436401,double_trigger_img2.csv,,,
Double Trigger,0.2995752597344862,1,Double Trigger,flow,Double Trigger,,-4.394864389412307,58.65286127811176,double_trigger_img2.csv,,,
Double Trigger,0.3195469437167852,1,Double Trigger,flow,Double Trigger,,-4.216135891692887,58.67198449185952,double_trigger_img2.csv,,,
Double Trigger,0.3395186276990843,1,Double Trigger,flow,Double Trigger,,-4.037407393973467,58.69110770560728,double_trigger_img2.csv,,,
Double Trigger,0.3594903116813834,1,Double Trigger,flow,Double Trigger,,-3.858678896254048,58.71023091935504,double_trigger_img2.csv,,,
Double Trigger,0.3794619956636825,1,Double Trigger,flow,Double Trigger,,-3.6799503985346287,58.72935413310279,double_trigger_img2.csv,,,
Double Trigger,0.3994336796459816,1,Double Trigger,flow,Double Trigger,,-3.501221900815209,58.74847734685055,double_trigger_img2.csv,,,
Double Trigger,0.4194053636282807,1,Double Trigger,flow,Double Trigger,,-3.3224934030957893,58.767600560598304,double_trigger_img2.csv,,,
Double Trigger,0.4393770476105797,1,Double Trigger,flow,Double Trigger,,-3.1437649053763703,58.78672377434606,double_trigger_img2.csv,,,
Double Trigger,0.4593487315928788,1,Double Trigger,flow,Double Trigger,,-2.965036407656951,58.80584698809382,double_trigger_img2.csv,,,
Double Trigger,0.4793204155751779,1,Double Trigger,flow,Double Trigger,,-2.7863079099375314,58.82612283390308,double_trigger_img2.csv,,,
Double Trigger,0.499292099557477,1,Double Trigger,flow,Double Trigger,,-2.607579412218112,58.86054461864904,double_trigger_img2.csv,,,
Double Trigger,0.5192637835397761,1,Double Trigger,flow,Double Trigger,,-2.428850914498692,58.894966403395,double_trigger_img2.csv,,,
Double Trigger,0.5392354675220752,1,Double Trigger,flow,Double Trigger,,-2.2501224167792726,58.92938818814097,double_trigger_img2.csv,,,
Double Trigger,0.5592071515043742,1,Double Trigger,flow,Double Trigger,,-2.071393919059854,58.96380997288693,double_trigger_img2.csv,,,
Double Trigger,0.5791788354866733,1,Double Trigger,flow,Double Trigger,,-1.892665421340434,58.998231757632894,double_trigger_img2.csv,,,
Double Trigger,0.5991505194689724,1,Double Trigger,flow,Double Trigger,,-1.713936923621015,59.03265354237886,double_trigger_img2.csv,,,
Double Trigger,0.6191222034512714,1,Double Trigger,flow,Double Trigger,,-1.5352084259015952,59.06707532712482,double_trigger_img2.csv,,,
Double Trigger,0.6390938874335705,1,Double Trigger,flow,Double Trigger,,-1.3564799281821758,59.10149711187079,double_trigger_img2.csv,,,
Double Trigger,0.6590655714158696,1,Double Trigger,flow,Double Trigger,,-1.177751430462756,59.13591889661674,double_trigger_img2.csv,,,
Double Trigger,0.6790372553981687,1,Double Trigger,flow,Double Trigger,,-0.9990229327433364,59.17034068136271,double_trigger_img2.csv,,,
Double Trigger,0.6990089393804678,1,Double Trigger,flow,Double Trigger,,-0.820294435023917,59.20476246610867,double_trigger_img2.csv,,,
Double Trigger,0.7189806233627669,1,Double Trigger,flow,Double Trigger,,-0.6737003418602143,59.23918425085464,double_trigger_img2.csv,,,
Double Trigger,0.7389523073450659,1,Double Trigger,flow,Double Trigger,,-0.7793126359671445,59.273606035600594,double_trigger_img2.csv,,,
Double Trigger,0.758923991327365,1,Double Trigger,flow,Double Trigger,,-0.8849249300740754,59.30802782034656,double_trigger_img2.csv,,,
Double Trigger,0.7788956753096641,1,Double Trigger,flow,Double Trigger,,-0.9905372241810062,59.342449605092526,double_trigger_img2.csv,,,
Double Trigger,0.7988673592919632,1,Double Trigger,flow,Double Trigger,,-1.096149518287937,59.376871389838485,double_trigger_img2.csv,,,
Double Trigger,0.8188390432742623,1,Double Trigger,flow,Double Trigger,,-1.201761812394868,59.41129317458445,double_trigger_img2.csv,,,
Double Trigger,0.8388107272565614,1,Double Trigger,flow,Double Trigger,,-1.3073741065017987,59.392903453966746,double_trigger_img2.csv,,,
Double Trigger,0.8587824112388605,1,Double Trigger,flow,Double Trigger,,-1.4129864006087294,59.37378024021899,double_trigger_img2.csv,,,
Double Trigger,0.8787540952211594,1,Double Trigger,flow,Double Trigger,,-1.5185986947156598,59.35465702647123,double_trigger_img2.csv,,,
Double Trigger,0.8987257792034585,1,Double Trigger,flow,Double Trigger,,-1.6242109888225906,59.33553381272348,double_trigger_img2.csv,,,
Double Trigger,0.9186974631857576,1,Double Trigger,flow,Double Trigger,,-1.7298232829295217,59.31641059897572,double_trigger_img2.csv,,,
Double Trigger,0.9386691471680568,1,Double Trigger,flow,Double Trigger,,-1.8354355770364523,59.29728738522796,double_trigger_img2.csv,,,
Double Trigger,0.9586408311503558,1,Double Trigger,flow,Double Trigger,,-1.9410478711433832,59.278164171480206,double_trigger_img2.csv,,,
Double Trigger,0.9786125151326548,1,Double Trigger,flow,Double Trigger,,-2.046660165250314,59.25904095773245,double_trigger_img2.csv,,,
Double Trigger,0.998584199114954,1,Double Trigger,flow,Double Trigger,,-2.1522724593572446,59.23991774398469,double_trigger_img2.csv,,,
Double Trigger,1.018555883097253,1,Double Trigger,flow,Double Trigger,,-2.257884753464176,59.22079453023694,double_trigger_img2.csv,,,
Double Trigger,1.0385275670795522,1,Double Trigger,flow,Double Trigger,,-2.3634970475711063,59.20167131648918,double_trigger_img2.csv,,,
Double Trigger,1.0584992510618512,1,Double Trigger,flow,Double Trigger,,-2.4691093416780365,59.18254810274142,double_trigger_img2.csv,,,
Double Trigger,1.0784709350441504,1,Double Trigger,flow,Double Trigger,,-2.574721635784968,59.16342488899367,double_trigger_img2.csv,,,
Double Trigger,1.0984426190264494,1,Double Trigger,flow,Double Trigger,,-2.6978957915831905,59.14430167524591,double_trigger_img2.csv,,,
Double Trigger,1.1184143030087483,1,Double Trigger,flow,Double Trigger,,-2.859247907579888,59.12517846149815,double_trigger_img2.csv,,,
Double Trigger,1.1383859869910475,1,Double Trigger,flow,Double Trigger,,-3.0206000235765864,59.13255081591754,double_trigger_img2.csv,,,
Double Trigger,1.1583576709733463,1,Double Trigger,flow,Double Trigger,,-3.1819521395732835,59.1571378050218,double_trigger_img2.csv,,,
Double Trigger,1.1783293549556455,1,Double Trigger,flow,Double Trigger,,-3.343304255569982,59.18172479412606,double_trigger_img2.csv,,,
Double Trigger,1.1983010389379447,1,Double Trigger,flow,Double Trigger,,-3.504656371566679,59.20631178323032,double_trigger_img2.csv,,,
Double Trigger,1.218272722920244,1,Double Trigger,flow,Double Trigger,,-3.666008487563378,59.23089877233458,double_trigger_img2.csv,,,
Double Trigger,1.238244406902543,1,Double Trigger,flow,Double Trigger,,-3.8273606035600745,59.255485761438834,double_trigger_img2.csv,,,
Double Trigger,1.258216090884842,1,Double Trigger,flow,Double Trigger,,-3.9887127195567738,59.28007275054309,double_trigger_img2.csv,,,
Double Trigger,1.278187774867141,1,Double Trigger,flow,Double Trigger,,-4.15006483555347,59.30465973964736,double_trigger_img2.csv,,,
Double Trigger,1.29815945884944,1,Double Trigger,flow,Double Trigger,,-4.311416951550168,59.32924672875161,double_trigger_img2.csv,,,
Double Trigger,1.3181311428317393,1,Double Trigger,flow,Double Trigger,,-4.472769067546866,59.35383371785587,double_trigger_img2.csv,,,
Double Trigger,1.3381028268140382,1,Double Trigger,flow,Double Trigger,,-4.634121183543563,59.37842070696013,double_trigger_img2.csv,,,
Double Trigger,1.3580745107963377,1,Double Trigger,flow,Double Trigger,,-4.795473299540262,59.40300769606439,double_trigger_img2.csv,,,
Double Trigger,1.3780461947786364,1,Double Trigger,flow,Double Trigger,,-4.956825415536959,59.39945249977077,double_trigger_img2.csv,,,
Double Trigger,1.3980178787609356,1,Double Trigger,flow,Double Trigger,,-5.118177531533657,59.38032928602301,double_trigger_img2.csv,,,
Double Trigger,1.4179895627432346,1,Double Trigger,flow,Double Trigger,,-5.279529647530355,59.36120607227526,double_trigger_img2.csv,,,
Double Trigger,1.4379612467255338,1,Double Trigger,flow,Double Trigger,,-5.440881763527053,59.3420828585275,double_trigger_img2.csv,,,
Double Trigger,1.4579329307078328,1,Double Trigger,flow,Double Trigger,,-5.60223387952375,59.32295964477974,double_trigger_img2.csv,,,
Double Trigger,1.4779046146901318,1,Double Trigger,flow,Double Trigger,,-5.763585995520447,59.30383643103199,double_trigger_img2.csv,,,
Double Trigger,1.497876298672431,1,Double Trigger,flow,Double Trigger,,-5.924938111517147,59.28471321728423,double_trigger_img2.csv,,,
Double Trigger,1.51784798265473,1,Double Trigger,flow,Double Trigger,,-5.799392903453938,59.26559000353648,double_trigger_img2.csv,,,
